language,symbol,kind,source_rule
rust,super,NONTERMINAL,_non_special_token
rust,attribute,NONTERMINAL,attribute_item
rust,attribute,NONTERMINAL,inner_attribute_item
rust,_expression,NONTERMINAL,attribute
rust,_path,NONTERMINAL,attribute
rust,delim_token_tree,NONTERMINAL,attribute
rust,declaration_list,NONTERMINAL,mod_item
rust,identifier,NONTERMINAL,mod_item
rust,visibility_modifier,NONTERMINAL,mod_item
rust,declaration_list,NONTERMINAL,foreign_mod_item
rust,extern_modifier,NONTERMINAL,foreign_mod_item
rust,_declaration_statement,NONTERMINAL,declaration_list
rust,_type_identifier,NONTERMINAL,struct_item
rust,field_declaration_list,NONTERMINAL,struct_item
rust,ordered_field_declaration_list,NONTERMINAL,struct_item
rust,type_parameters,NONTERMINAL,struct_item
rust,visibility_modifier,NONTERMINAL,struct_item
rust,where_clause,NONTERMINAL,struct_item
rust,_type_identifier,NONTERMINAL,union_item
rust,field_declaration_list,NONTERMINAL,union_item
rust,type_parameters,NONTERMINAL,union_item
rust,visibility_modifier,NONTERMINAL,union_item
rust,where_clause,NONTERMINAL,union_item
rust,_type_identifier,NONTERMINAL,enum_item
rust,enum_variant_list,NONTERMINAL,enum_item
rust,type_parameters,NONTERMINAL,enum_item
rust,visibility_modifier,NONTERMINAL,enum_item
rust,where_clause,NONTERMINAL,enum_item
rust,attribute_item,NONTERMINAL,enum_variant_list
rust,enum_variant,NONTERMINAL,enum_variant_list
rust,_expression,NONTERMINAL,enum_variant
rust,field_declaration_list,NONTERMINAL,enum_variant
rust,identifier,NONTERMINAL,enum_variant
rust,ordered_field_declaration_list,NONTERMINAL,enum_variant
rust,visibility_modifier,NONTERMINAL,enum_variant
rust,attribute_item,NONTERMINAL,field_declaration_list
rust,field_declaration,NONTERMINAL,field_declaration_list
rust,_field_identifier,NONTERMINAL,field_declaration
rust,_type,NONTERMINAL,field_declaration
rust,visibility_modifier,NONTERMINAL,field_declaration
rust,_type,NONTERMINAL,ordered_field_declaration_list
rust,attribute_item,NONTERMINAL,ordered_field_declaration_list
rust,visibility_modifier,NONTERMINAL,ordered_field_declaration_list
rust,crate,NONTERMINAL,extern_crate_declaration
rust,identifier,NONTERMINAL,extern_crate_declaration
rust,visibility_modifier,NONTERMINAL,extern_crate_declaration
rust,_expression,NONTERMINAL,const_item
rust,_type,NONTERMINAL,const_item
rust,identifier,NONTERMINAL,const_item
rust,visibility_modifier,NONTERMINAL,const_item
rust,_expression,NONTERMINAL,static_item
rust,_type,NONTERMINAL,static_item
rust,identifier,NONTERMINAL,static_item
rust,mutable_specifier,NONTERMINAL,static_item
rust,visibility_modifier,NONTERMINAL,static_item
rust,_type,NONTERMINAL,type_item
rust,_type_identifier,NONTERMINAL,type_item
rust,type_parameters,NONTERMINAL,type_item
rust,visibility_modifier,NONTERMINAL,type_item
rust,where_clause,NONTERMINAL,type_item
rust,_type,NONTERMINAL,function_item
rust,block,NONTERMINAL,function_item
rust,function_modifiers,NONTERMINAL,function_item
rust,identifier,NONTERMINAL,function_item
rust,metavariable,NONTERMINAL,function_item
rust,parameters,NONTERMINAL,function_item
rust,type_parameters,NONTERMINAL,function_item
rust,visibility_modifier,NONTERMINAL,function_item
rust,where_clause,NONTERMINAL,function_item
rust,_type,NONTERMINAL,function_signature_item
rust,function_modifiers,NONTERMINAL,function_signature_item
rust,identifier,NONTERMINAL,function_signature_item
rust,metavariable,NONTERMINAL,function_signature_item
rust,parameters,NONTERMINAL,function_signature_item
rust,type_parameters,NONTERMINAL,function_signature_item
rust,visibility_modifier,NONTERMINAL,function_signature_item
rust,where_clause,NONTERMINAL,function_signature_item
rust,extern_modifier,NONTERMINAL,function_modifiers
rust,where_predicate,NONTERMINAL,where_clause
rust,_type_identifier,NONTERMINAL,where_predicate
rust,array_type,NONTERMINAL,where_predicate
rust,generic_type,NONTERMINAL,where_predicate
rust,higher_ranked_trait_bound,NONTERMINAL,where_predicate
rust,lifetime,NONTERMINAL,where_predicate
rust,pointer_type,NONTERMINAL,where_predicate
rust,reference_type,NONTERMINAL,where_predicate
rust,scoped_type_identifier,NONTERMINAL,where_predicate
rust,trait_bounds,NONTERMINAL,where_predicate
rust,tuple_type,NONTERMINAL,where_predicate
rust,_type,NONTERMINAL,impl_item
rust,_type_identifier,NONTERMINAL,impl_item
rust,declaration_list,NONTERMINAL,impl_item
rust,generic_type,NONTERMINAL,impl_item
rust,scoped_type_identifier,NONTERMINAL,impl_item
rust,type_parameters,NONTERMINAL,impl_item
rust,where_clause,NONTERMINAL,impl_item
rust,_type_identifier,NONTERMINAL,trait_item
rust,declaration_list,NONTERMINAL,trait_item
rust,trait_bounds,NONTERMINAL,trait_item
rust,type_parameters,NONTERMINAL,trait_item
rust,visibility_modifier,NONTERMINAL,trait_item
rust,where_clause,NONTERMINAL,trait_item
rust,_type_identifier,NONTERMINAL,associated_type
rust,trait_bounds,NONTERMINAL,associated_type
rust,type_parameters,NONTERMINAL,associated_type
rust,where_clause,NONTERMINAL,associated_type
rust,_type,NONTERMINAL,trait_bounds
rust,higher_ranked_trait_bound,NONTERMINAL,trait_bounds
rust,lifetime,NONTERMINAL,trait_bounds
rust,_type,NONTERMINAL,higher_ranked_trait_bound
rust,type_parameters,NONTERMINAL,higher_ranked_trait_bound
rust,_type,NONTERMINAL,removed_trait_bound
rust,attribute_item,NONTERMINAL,type_parameters
rust,const_parameter,NONTERMINAL,type_parameters
rust,lifetime_parameter,NONTERMINAL,type_parameters
rust,metavariable,NONTERMINAL,type_parameters
rust,type_parameter,NONTERMINAL,type_parameters
rust,_literal,NONTERMINAL,const_parameter
rust,_type,NONTERMINAL,const_parameter
rust,block,NONTERMINAL,const_parameter
rust,identifier,NONTERMINAL,const_parameter
rust,negative_literal,NONTERMINAL,const_parameter
rust,_type,NONTERMINAL,type_parameter
rust,_type_identifier,NONTERMINAL,type_parameter
rust,trait_bounds,NONTERMINAL,type_parameter
rust,lifetime,NONTERMINAL,lifetime_parameter
rust,trait_bounds,NONTERMINAL,lifetime_parameter
rust,_expression,NONTERMINAL,let_declaration
rust,_pattern,NONTERMINAL,let_declaration
rust,_type,NONTERMINAL,let_declaration
rust,block,NONTERMINAL,let_declaration
rust,mutable_specifier,NONTERMINAL,let_declaration
rust,_use_clause,NONTERMINAL,use_declaration
rust,visibility_modifier,NONTERMINAL,use_declaration
rust,_path,NONTERMINAL,_use_clause
rust,scoped_use_list,NONTERMINAL,_use_clause
rust,use_as_clause,NONTERMINAL,_use_clause
rust,use_list,NONTERMINAL,_use_clause
rust,use_wildcard,NONTERMINAL,_use_clause
rust,_path,NONTERMINAL,scoped_use_list
rust,use_list,NONTERMINAL,scoped_use_list
rust,_use_clause,NONTERMINAL,use_list
rust,_path,NONTERMINAL,use_as_clause
rust,identifier,NONTERMINAL,use_as_clause
rust,_path,NONTERMINAL,use_wildcard
rust,_type,NONTERMINAL,parameters
rust,attribute_item,NONTERMINAL,parameters
rust,parameter,NONTERMINAL,parameters
rust,self_parameter,NONTERMINAL,parameters
rust,variadic_parameter,NONTERMINAL,parameters
rust,lifetime,NONTERMINAL,self_parameter
rust,mutable_specifier,NONTERMINAL,self_parameter
rust,self,NONTERMINAL,self_parameter
rust,_pattern,NONTERMINAL,variadic_parameter
