language,rule,path,operation,name,value
r,binary_operator,$.members[13].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[13].content.members[1],FIELD,operator,
r,binary_operator,$.members[13].content.members[1].content,STRING,,"""<="""
r,binary_operator,$.members[13].content.members[2],REPEAT,,
r,binary_operator,$.members[13].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[13].content.members[3],FIELD,rhs,
r,binary_operator,$.members[13].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[14],PREC_LEFT,,11
r,binary_operator,$.members[14].content,SEQ,,
r,binary_operator,$.members[14].content.members[0],FIELD,lhs,
r,binary_operator,$.members[14].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[14].content.members[1],FIELD,operator,
r,binary_operator,$.members[14].content.members[1].content,STRING,,""">"""
r,binary_operator,$.members[14].content.members[2],REPEAT,,
r,binary_operator,$.members[14].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[14].content.members[3],FIELD,rhs,
r,binary_operator,$.members[14].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[15],PREC_LEFT,,11
r,binary_operator,$.members[15].content,SEQ,,
r,binary_operator,$.members[15].content.members[0],FIELD,lhs,
r,binary_operator,$.members[15].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[15].content.members[1],FIELD,operator,
r,binary_operator,$.members[15].content.members[1].content,STRING,,""">="""
r,binary_operator,$.members[15].content.members[2],REPEAT,,
r,binary_operator,$.members[15].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[15].content.members[3],FIELD,rhs,
r,binary_operator,$.members[15].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[16],PREC_LEFT,,11
r,binary_operator,$.members[16].content,SEQ,,
r,binary_operator,$.members[16].content.members[0],FIELD,lhs,
r,binary_operator,$.members[16].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[16].content.members[1],FIELD,operator,
r,binary_operator,$.members[16].content.members[1].content,STRING,,"""=="""
r,binary_operator,$.members[16].content.members[2],REPEAT,,
r,binary_operator,$.members[16].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[16].content.members[3],FIELD,rhs,
r,binary_operator,$.members[16].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[17],PREC_LEFT,,11
r,binary_operator,$.members[17].content,SEQ,,
r,binary_operator,$.members[17].content.members[0],FIELD,lhs,
r,binary_operator,$.members[17].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[17].content.members[1],FIELD,operator,
r,binary_operator,$.members[17].content.members[1].content,STRING,,"""!="""
r,binary_operator,$.members[17].content.members[2],REPEAT,,
r,binary_operator,$.members[17].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[17].content.members[3],FIELD,rhs,
r,binary_operator,$.members[17].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[18],PREC_LEFT,,12
r,binary_operator,$.members[18].content,SEQ,,
r,binary_operator,$.members[18].content.members[0],FIELD,lhs,
r,binary_operator,$.members[18].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[18].content.members[1],FIELD,operator,
r,binary_operator,$.members[18].content.members[1].content,STRING,,"""+"""
r,binary_operator,$.members[18].content.members[2],REPEAT,,
r,binary_operator,$.members[18].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[18].content.members[3],FIELD,rhs,
r,binary_operator,$.members[18].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[19],PREC_LEFT,,12
r,binary_operator,$.members[19].content,SEQ,,
r,binary_operator,$.members[19].content.members[0],FIELD,lhs,
r,binary_operator,$.members[19].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[19].content.members[1],FIELD,operator,
r,binary_operator,$.members[19].content.members[1].content,STRING,,"""-"""
r,binary_operator,$.members[19].content.members[2],REPEAT,,
r,binary_operator,$.members[19].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[19].content.members[3],FIELD,rhs,
r,binary_operator,$.members[19].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[20],PREC_LEFT,,13
r,binary_operator,$.members[20].content,SEQ,,
r,binary_operator,$.members[20].content.members[0],FIELD,lhs,
r,binary_operator,$.members[20].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[20].content.members[1],FIELD,operator,
r,binary_operator,$.members[20].content.members[1].content,STRING,,"""*"""
r,binary_operator,$.members[20].content.members[2],REPEAT,,
r,binary_operator,$.members[20].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[20].content.members[3],FIELD,rhs,
r,binary_operator,$.members[20].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[21],PREC_LEFT,,13
r,binary_operator,$.members[21].content,SEQ,,
r,binary_operator,$.members[21].content.members[0],FIELD,lhs,
r,binary_operator,$.members[21].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[21].content.members[1],FIELD,operator,
r,binary_operator,$.members[21].content.members[1].content,STRING,,"""/"""
r,binary_operator,$.members[21].content.members[2],REPEAT,,
r,binary_operator,$.members[21].content.members[2].content,SYMBOL,_newline,
r,binary_operator,$.members[21].content.members[3],FIELD,rhs,
r,binary_operator,$.members[21].content.members[3].content,SYMBOL,_expression,
r,binary_operator,$.members[22],PREC_RIGHT,,17
r,binary_operator,$.members[22].content,SEQ,,
r,binary_operator,$.members[22].content.members[0],FIELD,lhs,
r,binary_operator,$.members[22].content.members[0].content,SYMBOL,_expression,
r,binary_operator,$.members[22].content.members[1],FIELD,operator,
r,binary_operator,$.members[22].content.members[1].content,STRING,,"""**"""
r,binary_operator,$.members[22].content.members[2],REPEAT,,
